4/20/2025 1:51:16 AM  Counts:100000
1419.008000000  0.103563792
1419.010734375  0.103615779
1419.013468750  0.103678484
1419.016203125  0.103592722
1419.018937500  0.103599352
1419.021671875  0.103926162
1419.024406250  0.104195004
1419.027140625  0.104138463
1419.029875000  0.104669784
1419.032609375  0.105061963
1419.035343750  0.105007285
1419.038078125  0.105327598
1419.040812500  0.105993245
1419.043546875  0.106030395
1419.046281250  0.106841596
1419.049015625  0.106870446
1419.051750000  0.107608573
1419.054484375  0.108169656
1419.057218750  0.108796590
1419.059953125  0.109104394
1419.062687500  0.109804417
1419.065421875  0.110228699
1419.068156250  0.110893362
1419.070890625  0.111625783
1419.073625000  0.112030019
1419.076359375  0.112772519
1419.079093750  0.113720996
1419.081828125  0.114083217
1419.084562500  0.115019202
1419.087296875  0.115555116
1419.090031250  0.116244910
1419.092765625  0.117217790
1419.095500000  0.118246540
1419.098234375  0.118803017
1419.100968750  0.119675047
1419.103703125  0.120148762
1419.106437500  0.121308087
1419.109171875  0.122497237
1419.111906250  0.122804515
1419.114640625  0.124379394
1419.117375000  0.125314966
1419.120109375  0.126396525
1419.122843750  0.127102956
1419.125578125  0.128088055
1419.128312500  0.128683582
1419.131046875  0.129966411
1419.133781250  0.130522082
1419.136515625  0.132280284
1419.139250000  0.132918700
1419.141984375  0.134030550
1419.144718750  0.135263538
1419.147453125  0.136491695
1419.150187500  0.136991692
1419.152921875  0.138180237
1419.155656250  0.139427642
1419.158390625  0.140924167
1419.161125000  0.141827355
1419.163859375  0.142323086
1419.166593750  0.143743889
1419.169328125  0.144986480
1419.172062500  0.146035331
1419.174796875  0.147251808
1419.177531250  0.148641000
1419.180265625  0.148919409
1419.183000000  0.150790929
1419.185734375  0.151863838
1419.188468750  0.152399252
1419.191203125  0.153942344
1419.193937500  0.155225521
1419.196671875  0.155981006
1419.199406250  0.156918989
1419.202140625  0.158503671
1419.204875000  0.159740960
1419.207609375  0.160482606
1419.210343750  0.161414066
1419.213078125  0.162943258
1419.215812500  0.164111756
1419.218546875  0.165108868
1419.221281250  0.166804395
1419.224015625  0.167251536
1419.226750000  0.168957490
1419.229484375  0.170174341
1419.232218750  0.171402404
1419.234953125  0.171910780
1419.237687500  0.173595925
1419.240421875  0.174492003
1419.243156250  0.175411748
1419.245890625  0.176752435
1419.248625000  0.177478164
1419.251359375  0.179386458
1419.254093750  0.180955200
1419.256828125  0.180961734
1419.259562500  0.182795963
1419.262296875  0.184031064
1419.265031250  0.184142868
1419.267765625  0.185309545
1419.270500000  0.186475800
1419.273234375  0.187513327
1419.275968750  0.189244420
1419.278703125  0.189406707
1419.281437500  0.190264440
1419.284171875  0.191520954
1419.286906250  0.193048071
1419.289640625  0.194826639
1419.292375000  0.195101386
1419.295109375  0.195652825
1419.297843750  0.197159430
1419.300578125  0.197856810
1419.303312500  0.199011855
1419.306046875  0.199992310
1419.308781250  0.201507604
1419.311515625  0.201901170
1419.314250000  0.203103931
1419.316984375  0.204005386
1419.319718750  0.204924190
1419.322453125  0.206191062
1419.325187500  0.207089613
1419.327921875  0.208395121
1419.330656250  0.208959037
1419.333390625  0.209641085
1419.336125000  0.210894040
1419.338859375  0.211994730
1419.341593750  0.213022526
1419.344328125  0.213922992
1419.347062500  0.214487551
1419.349796875  0.215398343
1419.352531250  0.216283061
1419.355265625  0.217216095
1419.358000000  0.218472474
1419.360734375  0.219404032
1419.363468750  0.219840008
1419.366203125  0.219979047
1419.368937500  0.222426052
1419.371671875  0.222014327
1419.374406250  0.222891256
1419.377140625  0.224369584
1419.379875000  0.224913607
1419.382609375  0.225437088
1419.385343750  0.226791717
1419.388078125  0.227287327
1419.390812500  0.227540152
1419.393546875  0.229155156
1419.396281250  0.229078822
1419.399015625  0.230272040
1419.401750000  0.230493726
1419.404484375  0.231332792
1419.407218750  0.232828809
1419.409953125  0.233587989
1419.412687500  0.234163987
1419.415421875  0.233708518
1419.418156250  0.234388337
1419.420890625  0.235591974
1419.423625000  0.237275373
1419.426359375  0.237045735
1419.429093750  0.237000275
1419.431828125  0.237935029
1419.434562500  0.239634354
1419.437296875  0.239405731
1419.440031250  0.240427099
1419.442765625  0.240270092
1419.445500000  0.240984808
1419.448234375  0.242634723
1419.450968750  0.242988897
1419.453703125  0.242861977
1419.456437500  0.243252666
1419.459171875  0.244112363
1419.461906250  0.244522162
1419.464640625  0.245218147
1419.467375000  0.245499776
1419.470109375  0.246444481
1419.472843750  0.246950619
1419.475578125  0.247315154
1419.478312500  0.247636948
1419.481046875  0.248092628
1419.483781250  0.249131529
1419.486515625  0.249115100
1419.489250000  0.248817571
1419.491984375  0.249365920
1419.494718750  0.250085811
1419.497453125  0.250160699
1419.500187500  0.251481284
1419.502921875  0.251872068
1419.505656250  0.252466034
1419.508390625  0.252964997
1419.511125000  0.253127709
1419.513859375  0.253432704
1419.516593750  0.253180965
1419.519328125  0.254565019
1419.522062500  0.254324573
1419.524796875  0.254783070
1419.527531250  0.254281613
1419.530265625  0.254841094
1419.533000000  0.255970142
1419.535734375  0.255777213
1419.538468750  0.256060951
1419.541203125  0.256333454
1419.543937500  0.256164121
1419.546671875  0.256637630
1419.549406250  0.256259901
1419.552140625  0.257212843
1419.554875000  0.257129251
1419.557609375  0.257028609
1419.560343750  0.258752676
1419.563078125  0.259076449
1419.565812500  0.258145771
1419.568546875  0.257909228
1419.571281250  0.259064791
