4/18/2025 12:56:15 AM  Counts:50000
1419.200000000  0.177874511
1419.204687500  0.177079725
1419.209375000  0.178144334
1419.214062500  0.178200136
1419.218750000  0.178249264
1419.223437500  0.179524348
1419.228125000  0.180595241
1419.232812500  0.183024383
1419.237500000  0.182495855
1419.242187500  0.182923113
1419.246875000  0.185732854
1419.251562500  0.187056259
1419.256250000  0.188233948
1419.260937500  0.190050996
1419.265625000  0.191869702
1419.270312500  0.193013328
1419.275000000  0.195697677
1419.279687500  0.197901874
1419.284375000  0.200611626
1419.289062500  0.202631699
1419.293750000  0.204579786
1419.298437500  0.206555422
1419.303125000  0.209676957
1419.307812500  0.212437897
1419.312500000  0.213962973
1419.317187500  0.216896127
1419.321875000  0.219915042
1419.326562500  0.222421741
1419.331250000  0.225285187
1419.335937500  0.228035114
1419.340625000  0.231343378
1419.345312500  0.233181062
1419.350000000  0.236397912
1419.354687500  0.239036192
1419.359375000  0.242581139
1419.364062500  0.244861789
1419.368750000  0.247904581
1419.373437500  0.250138718
1419.378125000  0.252551264
1419.382812500  0.256369047
1419.387500000  0.258636694
1419.392187500  0.263309753
1419.396875000  0.265029361
1419.401562500  0.268254633
1419.406250000  0.270874206
1419.410937500  0.273998534
1419.415625000  0.273880644
1419.420312500  0.279693229
1419.425000000  0.281698323
1419.429687500  0.284057995
1419.434375000  0.286515256
1419.439062500  0.287032073
1419.443750000  0.291758480
1419.448437500  0.295094815
1419.453125000  0.295919169
1419.457812500  0.298738041
1419.462500000  0.299982762
1419.467187500  0.302614818
1419.471875000  0.305842952
1419.476562500  0.307670135
1419.481250000  0.309102556
1419.485937500  0.310927859
1419.490625000  0.314792075
1419.495312500  0.315627040
1419.500000000  0.317623380
1419.504687500  0.320809737
1419.509375000  0.321277150
1419.514062500  0.324545696
1419.518750000  0.324873103
1419.523437500  0.326663959
1419.528125000  0.327764665
1419.532812500  0.331306673
1419.537500000  0.330649285
1419.542187500  0.332448997
1419.546875000  0.334595778
1419.551562500  0.336514392
1419.556250000  0.337810636
1419.560937500  0.339255602
1419.565625000  0.340224949
1419.570312500  0.342071143
1419.575000000  0.342050399
1419.579687500  0.343994204
1419.584375000  0.344184153
1419.589062500  0.345207769
1419.593750000  0.345536581
1419.598437500  0.345751534
1419.603125000  0.347252893
1419.607812500  0.347010415
1419.612500000  0.350205450
1419.617187500  0.348421496
1419.621875000  0.351877227
1419.626562500  0.350563769
1419.631250000  0.350591574
1419.635937500  0.352716886
1419.640625000  0.353085787
1419.645312500  0.352373406
1419.650000000  0.354703932
1419.654687500  0.353124909
1419.659375000  0.355282366
1419.664062500  0.354211490
1419.668750000  0.355655378
1419.673437500  0.355709830
1419.678125000  0.355420171
1419.682812500  0.355304467
1419.687500000  0.356274355
1419.692187500  0.354861216
1419.696875000  0.355410155
1419.701562500  0.353393828
1419.706250000  0.354265955
1419.710937500  0.353667104
1419.715625000  0.356732446
1419.720312500  0.356117177
1419.725000000  0.354601434
1419.729687500  0.354826023
1419.734375000  0.355595825
1419.739062500  0.354595398
1419.743750000  0.353656130
1419.748437500  0.352594403
1419.753125000  0.354264659
1419.757812500  0.354046711
1419.762500000  0.353131957
1419.767187500  0.354575306
1419.771875000  0.352410408
1419.776562500  0.352899062
1419.781250000  0.352575933
1419.785937500  0.351626289
1419.790625000  0.351496002
1419.795312500  0.351701877
1419.800000000  0.351258882
1419.804687500  0.351062663
1419.809375000  0.351038638
1419.814062500  0.350793112
1419.818750000  0.349125810
1419.823437500  0.348635514
1419.828125000  0.349103296
1419.832812500  0.348114385
1419.837500000  0.348603330
1419.842187500  0.348291682
1419.846875000  0.346767126
1419.851562500  0.346587783
1419.856250000  0.345568931
1419.860937500  0.345869249
